Frame,L_Shoulder_x,L_Shoulder_y,L_Elbow_x,L_Elbow_y,L_Wrist_x,L_Wrist_y,R_Shoulder_x,R_Shoulder_y,R_Elbow_x,R_Elbow_y,R_Wrist_x,R_Wrist_y
Frame35,0.5899342894554138,0.4821701645851135,0.5767937898635864,0.3777300715446472,0.0,1.0,0.6628736853599548,0.46213042736053467,0.6713190078735352,0.34734565019607544,0.6657937169075012,0.23290354013442993
Frame65,0.6888706088066101,0.4788573384284973,0.6870881915092468,0.44597458839416504,0.6400024890899658,0.4582712650299072,0.6803441643714905,0.4828656315803528,0.6593679189682007,0.4652978181838989,0.6297394037246704,0.46996158361434937
Frame70,0.6894552707672119,0.47999173402786255,0.6852964162826538,0.4442540407180786,0.6598379015922546,0.46875637769699097,0.6852664351463318,0.48703259229660034,0.665188729763031,0.4569314122200012,0.6516255140304565,0.46814411878585815
Frame25,0.5307552814483643,0.4492170214653015,0.5170530080795288,0.34622329473495483,0.0,1.0,0.6144613027572632,0.4361412525177002,0.6247206330299377,0.31827598810195923,0.6306623220443726,0.21667933464050293
Frame20,0.3044445812702179,0.34327805042266846,0.2984822392463684,0.1950940489768982,0.0,1.0,0.40336018800735474,0.3168862462043762,0.4133369028568268,0.17013496160507202,0.4079107642173767,0.042214393615722656
Frame85,0.6950538158416748,0.4852241277694702,0.6900634169578552,0.4482986330986023,0.6646424531936646,0.4614101052284241,0.6897608041763306,0.491618812084198,0.6704391837120056,0.45658165216445923,0.6572454571723938,0.4658699631690979
Frame60,0.6842285394668579,0.47855597734451294,0.6826602816581726,0.43839603662490845,0.6597716212272644,0.44662654399871826,0.6843453645706177,0.48670464754104614,0.6720423698425293,0.4500245451927185,0.6527924537658691,0.45228952169418335
Frame75,0.6886356472969055,0.4800547957420349,0.6801474690437317,0.44803571701049805,0.6594205498695374,0.46634435653686523,0.6878297328948975,0.4878429174423218,0.6675533652305603,0.4559072256088257,0.6542649865150452,0.46657055616378784
Frame30,0.5672545433044434,0.46117305755615234,0.5509774088859558,0.3496388792991638,0.5798625349998474,0.3741984963417053,0.651451051235199,0.4486861228942871,0.660513162612915,0.3234589695930481,0.6552481055259705,0.2312336564064026
Frame40,0.7131198644638062,0.5512218475341797,0.704468846321106,0.4731840491294861,0.7059537172317505,0.4414518475532532,0.7600411176681519,0.5525091886520386,0.7723053097724915,0.468333899974823,0.7675694227218628,0.4021100401878357
Frame155,0.4723784923553467,0.4312562346458435,0.460283100605011,0.3267337679862976,0.45531925559043884,0.34928828477859497,0.4903034567832947,0.4520810842514038,0.48909416794776917,0.3514731526374817,0.0,1.0
Frame160,0.14073024690151215,0.4607555866241455,0.15144334733486176,0.3792700171470642,0.13275793194770813,0.33329862356185913,0.10661990940570831,0.4661906361579895,0.10472927987575531,0.3841734528541565,0.09208150953054428,0.35945624113082886
Frame150,0.8530359268188477,0.2588520646095276,0.8363207578659058,0.1286655068397522,0.8584839701652527,0.11545324325561523,0.9163234829902649,0.3047509789466858,0.9291221499443054,0.16623783111572266,0.0,1.0
Frame265,0.724170446395874,0.45540565252304077,0.7200137972831726,0.3920097351074219,0.7182371616363525,0.33541339635849,0.7684487104415894,0.46907317638397217,0.789031982421875,0.4030681252479553,0.8000028729438782,0.3575858473777771
Frame300,0.21698932349681854,0.5211207866668701,0.2163798063993454,0.4633641839027405,0.0,1.0,0.24870261549949646,0.5213277339935303,0.26698970794677734,0.45943158864974976,0.2684437930583954,0.46597474813461304
Frame295,0.09144215285778046,0.4721217155456543,0.09764759987592697,0.39421963691711426,0.0,1.0,0.11620980501174927,0.46475470066070557,0.13853338360786438,0.3837146759033203,0.17090696096420288,0.39341193437576294
Frame320,0.5209282636642456,0.5846396684646606,0.5266484022140503,0.5269080400466919,0.5386552810668945,0.5144637823104858,0.5177462697029114,0.5747268199920654,0.5214576125144958,0.5199772119522095,0.5387481451034546,0.5069547891616821
Frame355,0.5519381165504456,0.5747764110565186,0.5444932579994202,0.5383322238922119,0.5118578672409058,0.6131477355957031,0.5285552144050598,0.583796501159668,0.5114166736602783,0.5792953968048096,0.504715621471405,0.615979790687561
Frame350,0.7162320613861084,0.5078847408294678,0.7135730385780334,0.45041054487228394,0.6967886686325073,0.43703752756118774,0.7154859900474548,0.5116568803787231,0.7126062512397766,0.4586428999900818,0.0,1.0
Frame390,0.7437117099761963,0.5006788969039917,0.7460418343544006,0.4369087815284729,0.7407150268554688,0.3892567753791809,0.7071715593338013,0.5125625133514404,0.6970393657684326,0.46311503648757935,0.691725492477417,0.4233340620994568
Frame400,0.7718203067779541,0.5181492567062378,0.7796016931533813,0.4612131714820862,0.767911434173584,0.4434104561805725,0.7225931882858276,0.524956464767456,0.7097204923629761,0.4711267352104187,0.7309549450874329,0.4450671076774597
Frame395,0.7888606786727905,0.5007164478302002,0.7913318276405334,0.43875032663345337,0.7891415357589722,0.3906722068786621,0.7521023750305176,0.508898138999939,0.7383418679237366,0.45507293939590454,0.7374792695045471,0.40086251497268677
Frame410,0.8905123472213745,0.3312711715698242,0.8911546468734741,0.2223954200744629,0.8682015538215637,0.1828109622001648,0.8106482625007629,0.3534008860588074,0.7786277532577515,0.26645559072494507,0.7921743988990784,0.20822197198867798
Frame405,0.8196617960929871,0.43769514560699463,0.8282658457756042,0.35006898641586304,0.8099271655082703,0.32480889558792114,0.7586981058120728,0.4437624216079712,0.7471576929092407,0.3539965748786926,0.786824643611908,0.3246113657951355
